おおさか（大阪）|[专]大阪
ジェーアール（ＪＲ）|[专]JR

ご～

[第5课]
いま（今）|[名]现在
せんしゅう（先週）|[名]上个星期
らいしゅう（来週）|[名]下个星期
さらいしゅう（さ来週）|名下下个星期
こんしゅう（今週）|[名]这个星期
きのう（昨日）|[名]昨天
あした（明日）|[名]明天
あさって|[名]后天
おととい|[名]前天
まいにち（毎日）|[名]每天，每日
まいあさ（毎朝）|[名]每天早晨
まいばん（毎晩）|[名]每天晚上
まいしゅう（毎週）|[名]每个星期
ごぜん（午前）∕エーエム(am)|[名]上午
ごご（午後）∕ピーエム(pm)|[名]下午
にちようび（日曜日）|[名]星期日
げつようび（月曜日）|[名]星期一
かようび（火曜日）|[名]星期二
きんようび（金曜日）|[名]星期五
どようび（土曜日）|[名]星期六
けさ（今朝）|[名]今天早晨
こんばん（今晩）|[名]今天晚上
らいねん（来年）|[名]明年
きょねん（去年）|[名]去年
よる（夜）|[名]晚上，夜里，夜晚
ばん（晩）|[名]晚上
あさ（朝）|[名]早晨
がっこう（学校）|[名]学校
しけん（試験）|[名]考试
しごと（仕事）|[名]工作
ちこく（遅刻）|[名]迟到
やすみ（休み）|[名]休息
しゅっちょう（出張）|[名]出差
けんしゅう（研修）|[名]进修
りょこう（旅行）|[名]旅行
てんらんかい（展覧会）|[名]展览会
かんげいかい（歓迎会）|[名]欢迎会
パーティー|[名]联欢会
おたく（お宅）|[名]府上，（您）家
いつ|[疑]什么时候
やすみます（休みます）|[动1]休息
はたらきます（働きます）|[动1]工作
はじまります（始まります）|[动1]开始
おわります（終わります）|[动1]结束
おきます（起きます）|[动2]起床
ねます（寝ます）|[动2]睡觉
べんきょうします（勉強～）|[动3]学习
いつも|[副]经常，总是
ペキンししゃ（北京支社）|[专]北京分社
こうべ（神戸）|[专]神户

おはよう|你早
～時じ∕～分ふん∕～半はん∕～月がつ∕～日にち∕～年ねん∕ごろ

[第6课]
らいげつ（来月）|[名]下个月
せんげつ（先月）|[名]上个月
よなか（夜中）|[名]午夜，半夜
ゆうべ|[名]昨天晚上
コンサート|[名]音乐会
クリスマス|[名]圣诞节
たんじょうび（誕生日）|[名]生日
こどものひ（こどもの日）|[名]儿童节
なつやすみ（夏休み）|[名]暑假
こうつうきかん（交通機関）|[名]交通工具
しんかんせん（新幹線）|[名]新干线
ひこうき（飛行機）|[名]飞机
フェリー|[名]渡轮
でんしゃ（電車）|[名]电车
バス|[名]公共汽车
タクシー|[名]出租车
びじゅつかん（美術館）|[名]美术馆
アパート|[名]公寓
うち|[名]家
プール|[名]游泳池
ともだち（友達）|[名]朋友
おとうと（弟）|[名]弟弟
いきます（行きます）|[动1]去
かえります（帰ります）|[动1]回来，回去
きます（来ます）|[动3]来
たしか|[副]好像是，大概；的确
まっすぐ|[副]径直，笔直
いっしょに|[副]一起
さとう（佐藤）|[专]佐藤
ペキン（北京）|[专]北京
アメリカ|[专]美国
かんこく（韓国）|[专]韩国
フランス|[专]法国
ひろしま（広島）|[专]广岛
きょうと（京都）|[专]京都
ほっかいどう（北海道）|[专]北海道
はこね（箱根）|[专]箱根
ぎんざ（銀座）|[专]银座
しぶや（渋谷）|[专]涩谷
しんじゅく（新宿）|[专]新宿

おつかれさまでした（お疲れ様でした）|够累的
おさきにしつれいします（お先に失礼します）|我先走了，我先告辞了
あるいて（歩いて）|步行
たいへんですね（大変ですね）|真不容易，够受的，不得了

[第7课]
コーヒー|[名]咖啡
コーラ|[名]可乐
おちゃ（お茶）|[名]茶
ワイン|[名]葡萄酒
バン|[名]面包
ケーキ|[名]蛋糕
おかゆ（お粥）|[名]粥
ひるごはん（昼ご飯）|[名]午饭
