めんきょしょう（免許証）|[名]许可证，执照
きかくしょ（企画書）|[名]计划书
やきゅうじょう（野球場）|[名]棒球场
テレビこうざ（～講座）|[名]电视讲座
かんじ（漢字）|[名]汉字
せんそう（戦争）|[名]战争
けいかん（警官）|[名]警察
としうえ（年上）|[名]年长者
とまります（止まります）|[动1]停，停住
かわります（変わります）|[动1]变，转变
がんばります（頑張ります）|[动1]拼命努力
あやまります（謝ります）|[动1]道歉
サボります|[动1]逃学，怠工
やぶります（破ります）|[动1]爽约，打破
ひきます（引きます）|[动1]拉，抽
まもります（守ります）|[动1]遵守，保护
こたえます（答えます）|[动2]回答
にげます（逃げます）|[动2]逃跑
たすけます（助けます）|[动2]救助，帮助
つけます（付けます）|[动2]添加，附加
おぼえます（覚えます）|[动2]记住，掌握
ていしゅつします（提出～）|[动3]提交，提出
えんりょします（遠慮～）|[动3]客气
ちゅういします（注意～）|[动3]注意
シュートします|[动3]（足球）射门，投篮
したしい（親しい）|[形1]熟悉，亲切，亲密
らんぼう（乱暴）|[形2]粗暴
しつれい（失礼）|[形2]不礼貌
おなじ（同じ）|[形2]一样，相同
きけん（危険）|[形2]危险
そんな|[连体]那样的
ていねいに（丁寧に）|[副]恭敬地；细心地
おい|[叹]哎，喂
まこと（誠）|[专]诚，阿诚
しゅうおんらい（周恩来）|[专]周恩来
ろじん（魯迅）|[专]鲁迅
せたがや（世田谷）|[专]世田谷
ふじ（富士）|[专]富士

かわった（変わった）|怪
かぜをひきます（風邪を引きます）|感冒
[第30课]
たくはいびん（宅配便）|[名]送货上门服务
ほうこくしょ（報告書）|[名]报告书
つゆ（梅雨）|[名]梅雨
あき（秋）|[名]秋天，秋季
ピクニック|[名]郊游
こうらくち（行楽地）|[名]景点，浏览地
ピザ|[名]比萨饼
しゅうでん（終電）|[名]末班电车
まちあいしつ（待合室）|[名]候诊室，等候室
かんじゃ（患者）|[名]病人，患者
はいざら（灰皿）|[名]烟灰缸
すいがら（吸殻）|[名]烟头，烟灰，烟蒂
は（歯）|[名]牙齿
かれ（彼）|[代]他
そろいます|[动1]到齐，齐全
よります（寄ります）|[动1]顺便去；靠近
ひらきます（開きます）|[动1]开，开张
むかえます（迎えます）|[动2]迎接
ひっこします（引っ越します）|[动1]搬迁
こわれます（壊れます）|[动2]出故障，坏
まちがえます（間違えます）|[动2]搞错
しゅっぱつします（出発～）|[动3]出发
てんしょくします（転職～）|[动3]换工作
パンクします|[动3]轮胎爆裂，撑破
さびしい（寂しい）|[形1]寂寞
たのしみ（楽しみ）|[形2]愉快，期待
とくべつ（特別）|[形2]特别
それでは／それじゃ|[连]那么
そうか|[叹]是吗
まあ|[叹]嗯，嘿，哎哟
パク|[专]朴
ちょうこうくだり（長江下り）|[专]坐船浏览长江两岸风光
こうざん（香山）|[专]香山
ペキンしょくぶつえん（北京植物園）|[专]北京植物园

しかたない（仕方ない）|没有办法
[第31课]
ボタン|[名]按钮；纽扣
ブローチ|[名]胸针
カーテン|[名]窗帘，帘子
コンクリート|[名]混凝土，水泥
プラスチック|[名]塑胶，塑料
ひすい|[名]翡翠
サービスセンター|[名]维修服务中心
かいいん（会員）|[名]会员
とくてん（特典）|[名]优惠
おてあらい（お手洗い）|[名]洗手间，厕所
かいだん（階段）|[名]楼梯，台阶
いこう（以降）|[名]以后
そば|[名]旁边
たっきゅうだい（卓球台）|[名]乒乓球桌
サイズ|[名]大小，尺寸
にんげん（人間）|[名]人，人类
はくちょう（白鳥）|[名]鹅
でんげん（電源）|[名]电源
スイカ|[名]西瓜
おします（押します）|[动1]按，推，挤
つきます|[动1]灯亮，灯开
さがります（下がります）|[动1]下降，降低
おこります（怒ります）|[动1]生气
まわします（回します）|[动1]转，传送，传递
うごきます（動きます）|[动1]运转，转动
いきます（生きます）|[动2]活，生存
おります（下ります）|[动2]下，下来
フリーズします|[动3]死机
こしょうします（故障～）|[动3]故障
うつくしい（美しい）|[形1]美丽
